date,team1,team2,venue,city,toss_winner,toss_decision,winner
2014-04-17,Delhi Daredevils,Royal Challengers Bangalore,Sharjah Cricket Stadium,,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2014-04-18,Sunrisers Hyderabad,Rajasthan Royals,Sheikh Zayed Stadium,Abu Dhabi,Rajasthan Royals,field,Rajasthan Royals
2014-04-18,Chennai Super Kings,Kings XI Punjab,Sheikh Zayed Stadium,Abu Dhabi,Chennai Super Kings,bat,Kings XI Punjab
2014-04-19,Royal Challengers Bangalore,Mumbai Indians,Dubai International Cricket Stadium,,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2014-04-19,Kolkata Knight Riders,Delhi Daredevils,Dubai International Cricket Stadium,,Kolkata Knight Riders,bat,Delhi Daredevils
2014-04-20,Rajasthan Royals,Kings XI Punjab,Sharjah Cricket Stadium,,Kings XI Punjab,field,Kings XI Punjab
2014-04-21,Chennai Super Kings,Delhi Daredevils,Sheikh Zayed Stadium,Abu Dhabi,Chennai Super Kings,bat,Chennai Super Kings
2014-04-22,Kings XI Punjab,Sunrisers Hyderabad,Sharjah Cricket Stadium,,Sunrisers Hyderabad,field,Kings XI Punjab
2014-04-23,Rajasthan Royals,Chennai Super Kings,Dubai International Cricket Stadium,,Rajasthan Royals,field,Chennai Super Kings
2014-04-24,Royal Challengers Bangalore,Kolkata Knight Riders,Sharjah Cricket Stadium,,Royal Challengers Bangalore,field,Kolkata Knight Riders
2014-04-25,Sunrisers Hyderabad,Delhi Daredevils,Dubai International Cricket Stadium,,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
2014-04-25,Chennai Super Kings,Mumbai Indians,Dubai International Cricket Stadium,,Mumbai Indians,bat,Chennai Super Kings
2014-04-26,Rajasthan Royals,Royal Challengers Bangalore,Sheikh Zayed Stadium,Abu Dhabi,Rajasthan Royals,field,Rajasthan Royals
2014-04-26,Kolkata Knight Riders,Kings XI Punjab,Sheikh Zayed Stadium,Abu Dhabi,Kolkata Knight Riders,field,Kings XI Punjab
2014-04-27,Delhi Daredevils,Mumbai Indians,Sharjah Cricket Stadium,,Mumbai Indians,bat,Delhi Daredevils
2014-04-27,Sunrisers Hyderabad,Chennai Super Kings,Sharjah Cricket Stadium,,Sunrisers Hyderabad,bat,Chennai Super Kings
2014-04-28,Kings XI Punjab,Royal Challengers Bangalore,Dubai International Cricket Stadium,,Kings XI Punjab,field,Kings XI Punjab
2014-04-30,Mumbai Indians,Sunrisers Hyderabad,Dubai International Cricket Stadium,,Mumbai Indians,field,Sunrisers Hyderabad
2014-05-02,Chennai Super Kings,Kolkata Knight Riders,JSCA International Stadium Complex,Ranchi,Chennai Super Kings,bat,Chennai Super Kings
2014-05-03,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Delhi,Rajasthan Royals,field,Rajasthan Royals
2014-05-03,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Mumbai,Kings XI Punjab,bat,Mumbai Indians
2014-05-04,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2014-05-05,Rajasthan Royals,Kolkata Knight Riders,"Sardar Patel Stadium, Motera",Ahmedabad,Kolkata Knight Riders,field,Rajasthan Royals
2014-05-05,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,Delhi,Chennai Super Kings,field,Chennai Super Kings
2014-05-06,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai,Royal Challengers Bangalore,field,Mumbai Indians
2014-05-07,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,Delhi Daredevils,bat,Kolkata Knight Riders
2014-05-07,Kings XI Punjab,Chennai Super Kings,Barabati Stadium,Cuttack,Chennai Super Kings,field,Kings XI Punjab
2014-05-08,Rajasthan Royals,Sunrisers Hyderabad,"Sardar Patel Stadium, Motera",Ahmedabad,Rajasthan Royals,field,Sunrisers Hyderabad
2014-05-09,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab
2014-05-10,Delhi Daredevils,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi,Sunrisers Hyderabad,field,Sunrisers Hyderabad
2014-05-10,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Mumbai,Chennai Super Kings,field,Chennai Super Kings
2014-05-11,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,bat,Rajasthan Royals
2014-05-11,Kings XI Punjab,Kolkata Knight Riders,Barabati Stadium,Cuttack,Kolkata Knight Riders,field,Kolkata Knight Riders
2014-05-12,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,bat,Mumbai Indians
2014-05-13,Chennai Super Kings,Rajasthan Royals,JSCA International Stadium Complex,Ranchi,Rajasthan Royals,bat,Chennai Super Kings
2014-05-13,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Bangalore,Delhi Daredevils,field,Royal Challengers Bangalore
2014-05-14,Kolkata Knight Riders,Mumbai Indians,Barabati Stadium,Cuttack,Kolkata Knight Riders,field,Kolkata Knight Riders
2014-05-14,Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Kings XI Punjab,field,Kings XI Punjab
2014-05-15,Rajasthan Royals,Delhi Daredevils,"Sardar Patel Stadium, Motera",Ahmedabad,Delhi Daredevils,field,Rajasthan Royals
2014-05-18,Chennai Super Kings,Royal Challengers Bangalore,JSCA International Stadium Complex,Ranchi,Chennai Super Kings,bat,Royal Challengers Bangalore
2014-05-18,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,bat,Kolkata Knight Riders
2014-05-19,Rajasthan Royals,Mumbai Indians,"Sardar Patel Stadium, Motera",Ahmedabad,Mumbai Indians,bat,Mumbai Indians
2014-05-19,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi,Kings XI Punjab,field,Kings XI Punjab
2014-05-20,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Royal Challengers Bangalore,bat,Sunrisers Hyderabad
2014-05-20,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Kolkata,Kolkata Knight Riders,field,Kolkata Knight Riders
2014-05-21,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Mumbai Indians,field,Mumbai Indians
2014-05-22,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata,Royal Challengers Bangalore,field,Kolkata Knight Riders
2014-05-22,Chennai Super Kings,Sunrisers Hyderabad,JSCA International Stadium Complex,Ranchi,Sunrisers Hyderabad,field,Sunrisers Hyderabad
2014-05-23,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Mumbai,Delhi Daredevils,field,Mumbai Indians
2014-05-23,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Rajasthan Royals,field,Kings XI Punjab
2014-05-24,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Bangalore,Chennai Super Kings,field,Chennai Super Kings
2014-05-24,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Kolkata,Kolkata Knight Riders,field,Kolkata Knight Riders
2014-05-25,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kings XI Punjab,field,Kings XI Punjab
2014-05-25,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Mumbai,Mumbai Indians,field,Mumbai Indians
2014-05-27,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,Kolkata,Kings XI Punjab,field,Kolkata Knight Riders
2014-05-28,Chennai Super Kings,Mumbai Indians,Brabourne Stadium,Mumbai,Chennai Super Kings,field,Chennai Super Kings
2014-05-30,Chennai Super Kings,Kings XI Punjab,Wankhede Stadium,Mumbai,Chennai Super Kings,field,Kings XI Punjab
2014-06-01,Kolkata Knight Riders,Kings XI Punjab,M Chinnaswamy Stadium,Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders
2015-04-08,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata,Kolkata Knight Riders,field,Kolkata Knight Riders
2015-04-09,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai,Delhi Daredevils,field,Chennai Super Kings
2015-04-10,Kings XI Punjab,Rajasthan Royals,Maharashtra Cricket Association Stadium,Pune,Kings XI Punjab,field,Rajasthan Royals
2015-04-11,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,Chennai Super Kings
2015-04-11,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2015-04-12,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Delhi,Rajasthan Royals,field,Rajasthan Royals
2015-04-12,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Mumbai,Mumbai Indians,field,Kings XI Punjab
2015-04-13,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,Bangalore,Sunrisers Hyderabad,field,Sunrisers Hyderabad
2015-04-14,Rajasthan Royals,Mumbai Indians,"Sardar Patel Stadium, Motera",Ahmedabad,Mumbai Indians,bat,Rajasthan Royals
2015-04-15,Kings XI Punjab,Delhi Daredevils,Maharashtra Cricket Association Stadium,Pune,Kings XI Punjab,bat,Delhi Daredevils
2015-04-16,Sunrisers Hyderabad,Rajasthan Royals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Rajasthan Royals,field,Rajasthan Royals
2015-04-17,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Mumbai,Mumbai Indians,bat,Chennai Super Kings
2015-04-18,Kings XI Punjab,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Pune,Kolkata Knight Riders,field,Kolkata Knight Riders
2015-04-18,Sunrisers Hyderabad,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Delhi Daredevils,bat,Delhi Daredevils
2015-04-19,Rajasthan Royals,Chennai Super Kings,"Sardar Patel Stadium, Motera",Ahmedabad,Chennai Super Kings,bat,Rajasthan Royals
2015-04-19,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,Mumbai Indians
2015-04-20,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,Kolkata Knight Riders,field,Kolkata Knight Riders
2015-04-22,Sunrisers Hyderabad,Kolkata Knight Riders,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Kolkata Knight Riders,field,Sunrisers Hyderabad
2015-04-22,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,Chennai Super Kings
2015-04-23,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Delhi,Mumbai Indians,field,Delhi Daredevils
2015-04-24,Rajasthan Royals,Royal Challengers Bangalore,"Sardar Patel Stadium, Motera",Ahmedabad,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2015-04-25,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,Mumbai,Mumbai Indians,bat,Mumbai Indians
2015-04-25,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,Chennai Super Kings
2015-04-26,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2015-04-27,Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kings XI Punjab,field,Sunrisers Hyderabad
2015-04-28,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai,Kolkata Knight Riders,field,Chennai Super Kings
2015-04-30,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Kolkata,Kolkata Knight Riders,field,Kolkata Knight Riders
2015-05-01,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Mumbai,Rajasthan Royals,field,Mumbai Indians
2015-05-01,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi,Delhi Daredevils,field,Delhi Daredevils
2015-05-02,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2015-05-02,Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Chennai Super Kings,field,Sunrisers Hyderabad
2015-05-03,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Mumbai Indians,bat,Mumbai Indians
2015-05-03,Rajasthan Royals,Delhi Daredevils,Brabourne Stadium,Mumbai,Delhi Daredevils,field,Rajasthan Royals
2015-05-04,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,Chennai Super Kings
2015-05-04,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Kolkata,Sunrisers Hyderabad,field,Kolkata Knight Riders
2015-05-05,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Mumbai,Delhi Daredevils,bat,Mumbai Indians
2015-05-06,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Bangalore,Kings XI Punjab,field,Royal Challengers Bangalore
2015-05-07,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,Kolkata Knight Riders
2015-05-07,Rajasthan Royals,Sunrisers Hyderabad,Brabourne Stadium,Mumbai,Rajasthan Royals,field,Sunrisers Hyderabad
2015-05-08,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,Mumbai Indians
2015-05-09,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata,Kings XI Punjab,bat,Kolkata Knight Riders
2015-05-09,Delhi Daredevils,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,Raipur,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
2015-05-10,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
2015-05-10,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,Chennai Super Kings
2015-05-11,Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
2015-05-12,Delhi Daredevils,Chennai Super Kings,Shaheed Veer Narayan Singh International Stadium,Raipur,Chennai Super Kings,bat,Delhi Daredevils
2015-05-13,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Royal Challengers Bangalore,field,Kings XI Punjab
2015-05-14,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai,Kolkata Knight Riders,field,Mumbai Indians
2015-05-15,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,bat,Royal Challengers Bangalore
2015-05-16,Rajasthan Royals,Kolkata Knight Riders,Brabourne Stadium,Mumbai,Rajasthan Royals,bat,Rajasthan Royals
2015-05-16,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kings XI Punjab,bat,Chennai Super Kings
2015-05-17,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,bat,Mumbai Indians
2015-05-19,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Mumbai,Mumbai Indians,bat,Mumbai Indians
2015-05-20,Royal Challengers Bangalore,Rajasthan Royals,Maharashtra Cricket Association Stadium,Pune,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
2015-05-22,Chennai Super Kings,Royal Challengers Bangalore,JSCA International Stadium Complex,Ranchi,Chennai Super Kings,field,Chennai Super Kings
2015-05-24,Mumbai Indians,Chennai Super Kings,Eden Gardens,Kolkata,Chennai Super Kings,field,Mumbai Indians
2016-04-09,Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium,Mumbai,Mumbai Indians,bat,Rising Pune Supergiants
2016-04-10,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata,Kolkata Knight Riders,field,Kolkata Knight Riders
2016-04-11,Kings XI Punjab,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Gujarat Lions,field,Gujarat Lions
2016-04-12,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,Bangalore,Sunrisers Hyderabad,field,Royal Challengers Bangalore
2016-04-13,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata,Mumbai Indians,field,Mumbai Indians
2016-04-14,Gujarat Lions,Rising Pune Supergiants,Saurashtra Cricket Association Stadium,Rajkot,Rising Pune Supergiants,bat,Gujarat Lions
2016-04-15,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi,Delhi Daredevils,field,Delhi Daredevils
2016-04-16,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,bat,Kolkata Knight Riders
2016-04-16,Mumbai Indians,Gujarat Lions,Wankhede Stadium,Mumbai,Gujarat Lions,field,Gujarat Lions
2016-04-17,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Bangalore,Delhi Daredevils,field,Delhi Daredevils
2016-04-17,Kings XI Punjab,Rising Pune Supergiants,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Rising Pune Supergiants,bat,Kings XI Punjab
2016-04-18,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
2016-04-19,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Kolkata Knight Riders,field,Kolkata Knight Riders
2016-04-20,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai,Mumbai Indians,field,Mumbai Indians
2016-04-21,Gujarat Lions,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium,Rajkot,Sunrisers Hyderabad,field,Sunrisers Hyderabad
2016-04-22,Rising Pune Supergiants,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiants,field,Royal Challengers Bangalore
2016-04-23,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Delhi,Mumbai Indians,field,Delhi Daredevils
2016-04-23,Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
2016-04-24,Gujarat Lions,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,Rajkot,Royal Challengers Bangalore,bat,Gujarat Lions
2016-04-24,Rising Pune Supergiants,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Pune,Kolkata Knight Riders,field,Kolkata Knight Riders
2016-04-25,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Kings XI Punjab,field,Mumbai Indians
2016-04-26,Sunrisers Hyderabad,Rising Pune Supergiants,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Rising Pune Supergiants,field,Rising Pune Supergiants
2016-04-27,Delhi Daredevils,Gujarat Lions,Feroz Shah Kotla,Delhi,Delhi Daredevils,field,Gujarat Lions
2016-04-28,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai,Mumbai Indians,field,Mumbai Indians
2016-04-29,Rising Pune Supergiants,Gujarat Lions,Maharashtra Cricket Association Stadium,Pune,Gujarat Lions,field,Gujarat Lions
2016-04-30,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,Kolkata Knight Riders,field,Delhi Daredevils
2016-04-30,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Royal Challengers Bangalore,field,Sunrisers Hyderabad
2016-05-01,Rising Pune Supergiants,Mumbai Indians,Maharashtra Cricket Association Stadium,Pune,Mumbai Indians,field,Mumbai Indians
2016-05-01,Gujarat Lions,Kings XI Punjab,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,field,Kings XI Punjab
2016-05-02,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders
2016-05-03,Gujarat Lions,Delhi Daredevils,Saurashtra Cricket Association Stadium,Rajkot,Delhi Daredevils,field,Delhi Daredevils
2016-05-04,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata,Kings XI Punjab,field,Kolkata Knight Riders
2016-05-05,Delhi Daredevils,Rising Pune Supergiants,Feroz Shah Kotla,Delhi,Rising Pune Supergiants,field,Rising Pune Supergiants
2016-05-06,Sunrisers Hyderabad,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
2016-05-07,Royal Challengers Bangalore,Rising Pune Supergiants,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2016-05-07,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Delhi Daredevils,field,Kings XI Punjab
2016-05-08,Mumbai Indians,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Mumbai Indians,field,Sunrisers Hyderabad
2016-05-08,Kolkata Knight Riders,Gujarat Lions,Eden Gardens,Kolkata,Gujarat Lions,field,Gujarat Lions
2016-05-09,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Kings XI Punjab,field,Royal Challengers Bangalore
2016-05-10,Rising Pune Supergiants,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
2016-05-11,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,Mumbai Indians,field,Mumbai Indians
2016-05-12,Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Delhi Daredevils,field,Delhi Daredevils
2016-05-13,Mumbai Indians,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Mumbai Indians,bat,Kings XI Punjab
2016-05-14,Royal Challengers Bangalore,Gujarat Lions,M Chinnaswamy Stadium,Bangalore,Gujarat Lions,field,Royal Challengers Bangalore
2016-05-14,Kolkata Knight Riders,Rising Pune Supergiants,Eden Gardens,Kolkata,Rising Pune Supergiants,bat,Kolkata Knight Riders
2016-05-15,Mumbai Indians,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Delhi Daredevils,field,Mumbai Indians
2016-05-15,Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Kings XI Punjab,bat,Sunrisers Hyderabad
2016-05-16,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2016-05-17,Rising Pune Supergiants,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Rising Pune Supergiants,field,Rising Pune Supergiants
2016-05-18,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Bangalore,Kings XI Punjab,field,Royal Challengers Bangalore
2016-05-19,Gujarat Lions,Kolkata Knight Riders,Green Park,Kanpur,Gujarat Lions,field,Gujarat Lions
2016-05-20,Delhi Daredevils,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,Raipur,Delhi Daredevils,field,Delhi Daredevils
2016-05-21,Rising Pune Supergiants,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Kings XI Punjab,bat,Rising Pune Supergiants
2016-05-21,Gujarat Lions,Mumbai Indians,Green Park,Kanpur,Gujarat Lions,field,Gujarat Lions
2016-05-22,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Kolkata,Sunrisers Hyderabad,field,Kolkata Knight Riders
2016-05-22,Delhi Daredevils,Royal Challengers Bangalore,Shaheed Veer Narayan Singh International Stadium,Raipur,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2016-05-24,Gujarat Lions,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2016-05-25,Sunrisers Hyderabad,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,Kolkata Knight Riders,field,Sunrisers Hyderabad
2016-05-27,Gujarat Lions,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi,Sunrisers Hyderabad,field,Sunrisers Hyderabad
2016-05-29,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,Bangalore,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
2017-04-05,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Royal Challengers Bangalore,field,Sunrisers Hyderabad
2017-04-06,Rising Pune Supergiant,Mumbai Indians,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,field,Rising Pune Supergiant
2017-04-07,Gujarat Lions,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Rajkot,Kolkata Knight Riders,field,Kolkata Knight Riders
2017-04-08,Kings XI Punjab,Rising Pune Supergiant,Holkar Cricket Stadium,Indore,Kings XI Punjab,field,Kings XI Punjab
2017-04-08,Royal Challengers Bangalore,Delhi Daredevils,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
2017-04-09,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai,Mumbai Indians,field,Mumbai Indians
2017-04-09,Sunrisers Hyderabad,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
2017-04-10,Kings XI Punjab,Royal Challengers Bangalore,Holkar Cricket Stadium,Indore,Royal Challengers Bangalore,bat,Kings XI Punjab
2017-04-11,Rising Pune Supergiant,Delhi Daredevils,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,field,Delhi Daredevils
2017-04-12,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,Mumbai,Mumbai Indians,field,Mumbai Indians
2017-04-13,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata,Kolkata Knight Riders,field,Kolkata Knight Riders
2017-04-14,Gujarat Lions,Rising Pune Supergiant,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,field,Gujarat Lions
